# Released contract versions. Appended by CI on a release tag; never edited by
# hand. `tag` and `asset` are recorded as observed — see `ArtifactRelease` in
# src/ids.rs.
#
# Everything here was recovered from code actually deployed on NEAR mainnet,
# each tag pointing at the commit its WASM names in NEP-330 metadata.
#
# Absences are deliberate: no NEAR vault has shipped, mocks are test
# scaffolding, and universal-account 0.4.0 was built but never deployed — those
# bytes are test data, in contract/universal-account/tests/migration/.
#
# artifact	version	tag	asset	sha256
registry	0.1.0	templar-registry-contract-v0.1.0	templar_registry_contract-0.1.0.wasm	c07b38a29202da247da12515d3b2e7a93855619209a76d73e5ae12b2facc6255
registry	1.0.0	templar-registry-contract-v1.0.0	templar_registry_contract-1.0.0.wasm	bafbec54bff4f07147c5e317966ec34c500331f02c64eefd5da1aa5dc778e339
registry	1.1.0	templar-registry-contract-v1.1.0	templar_registry_contract-1.1.0.wasm	0f315a008969013f44575b16374c115e972f421d1061fd6cafc8b4f63e5c65f3
market	1.0.0	templar-market-contract-v1.0.0	templar_market_contract-1.0.0.wasm	0b78aefdae1bb76148602252dd6b7db2014d99ef3b7f93a764c54d7ebe97a392
market	1.1.0	templar-market-contract-v1.1.0	templar_market_contract-1.1.0.wasm	2bc028a722ccacd8aa23fe50a83c395716c920bf724b0d054a1ede3f2e4fae77
market	1.2.1	templar-market-contract-v1.2.1	templar_market_contract-1.2.1.wasm	c9752de38ed140645e9a8d4a55dc89835b113609e27bb63ce134b5e598bc69b8
market	1.3.0	templar-market-contract-v1.3.0	templar_market_contract-1.3.0.wasm	40e56aaf3627f1cb13656e696d382e64d7bb3e97420a049c20ae294d4f64fe97
universal-account	0.2.0	templar-universal-account-contract-v0.2.0	templar_universal_account_contract-0.2.0.wasm	30e8baf1bd5de0308c510c0e5ff77b9aeb25306bf6ab922e5e25f8a24d6f3efd
universal-account	0.3.0	templar-universal-account-contract-v0.3.0	templar_universal_account_contract-0.3.0.wasm	99e7ee1e559b2a0e966ef91e572007d71a6998b6a8d8ca0330e6c308652de505
universal-account	0.3.1	templar-universal-account-contract-v0.3.1	templar_universal_account_contract-0.3.1.wasm	1b470283a0393f083463c95086de3046a94b626de45270fc108c1658fc7679a0
universal-account	0.5.0	templar-universal-account-contract-v0.5.0	templar_universal_account_contract-0.5.0.wasm	22d1efca17929ef7148f62b9a32f1dcf9a5aa6bf1646df2190817e8cb9e961ef
proxy-oracle	0.1.0	templar-proxy-oracle-near-contract-v0.1.0	templar_proxy_oracle_near_contract-0.1.0.wasm	e877687e2d6f51db824bde12348938b3374f526301811df3ee118af38b856f35
proxy-oracle	0.3.0	templar-proxy-oracle-near-contract-v0.3.0	templar_proxy_oracle_near_contract-0.3.0.wasm	d2e62c4566c98e55121a5aad32e0e5b8cfb911f82aca71dbaeaa83794fed9e8e
proxy-governance	0.1.0	templar-proxy-oracle-near-governance-contract-v0.1.0	templar_proxy_oracle_near_governance_contract-0.1.0.wasm	09ecfafa86bfdca5e05b9174590cd056d59bf3a9d8727e9d452cfb98701334b0
lst-oracle	1.0.0	templar-lst-oracle-contract-v1.0.0	templar_lst_oracle_contract-1.0.0.wasm	4d650b07ec9ccc3aaafc765f6970e2c60dde1ba23f25ef05d23ddd2178a157a3
redstone-adapter	0.1.0	templar-redstone-adapter-contract-v0.1.0	templar_redstone_adapter_contract-0.1.0.wasm	debbf6f631422ad44fb3bf323503f378cdaff1cd6c63661846cb56828e23c461
pyth-lazer-adapter	0.1.0	templar-pyth-lazer-adapter-contract-v0.1.0	templar_pyth_lazer_adapter_contract-0.1.0.wasm	ff51847ea292271775db9bf8207e7f30c5a6a426b277a71ebe78f8c4850a451f
