# Contract versions genuinely deployed to NEAR mainnet, and the commit each
# was built from (read out of the deployed WASM's NEP-330 metadata).
# Input to script/backfill-release-artifacts.sh. One-off historical record.
#
# package	version	source_commit	sha256	account
templar-lst-oracle-contract	1.0.0	1d736e62a86424dd947284cbd8e83bef803fa9fb	4d650b07ec9ccc3aaafc765f6970e2c60dde1ba23f25ef05d23ddd2178a157a3	lst.oracle.tmplr.near
templar-market-contract	1.0.0	1d736e62a86424dd947284cbd8e83bef803fa9fb	0b78aefdae1bb76148602252dd6b7db2014d99ef3b7f93a764c54d7ebe97a392	ibtc-usdc.v1.tmplr.near
templar-market-contract	1.1.0	1601af1aab22d09f550d59e638c2ea23bf94325d	2bc028a722ccacd8aa23fe50a83c395716c920bf724b0d054a1ede3f2e4fae77	ibtc-usdc-1.v1.tmplr.near
templar-market-contract	1.2.1	153513b01507ec24bab807f3e91df4dcf7e811e5	c9752de38ed140645e9a8d4a55dc89835b113609e27bb63ce134b5e598bc69b8	izec-isolusdc.v1.tmplr.near
templar-market-contract	1.3.0	e1f5b6766c8f69b2e89315241cf8f30a9caa3c4c	40e56aaf3627f1cb13656e696d382e64d7bb3e97420a049c20ae294d4f64fe97	ixlm-ixlmpyusd.v1.tmplr.near
templar-proxy-oracle-near-contract	0.1.0	995161d8f1777d9df06d3cb131d80b1fe14ec0ac	e877687e2d6f51db824bde12348938b3374f526301811df3ee118af38b856f35	proxy-oracle-ixlmcetes-ixlmusdc.v1.tmplr.near
templar-proxy-oracle-near-contract	0.3.0	e0f3a11fbc68e0941fc266827887dd4d7580d789	d2e62c4566c98e55121a5aad32e0e5b8cfb911f82aca71dbaeaa83794fed9e8e	proxy-oracle-idoge-ixlmusdc.v1.tmplr.near
templar-proxy-oracle-near-governance-contract	0.1.0	e0f3a11fbc68e0941fc266827887dd4d7580d789	09ecfafa86bfdca5e05b9174590cd056d59bf3a9d8727e9d452cfb98701334b0	proxy-gov-ixlm-ixlmusdc-1.v1.tmplr.near
templar-pyth-lazer-adapter-contract	0.1.0	e0f3a11fbc68e0941fc266827887dd4d7580d789	ff51847ea292271775db9bf8207e7f30c5a6a426b277a71ebe78f8c4850a451f	pyth-lazer.v1.tmplr.near
templar-redstone-adapter-contract	0.1.0	b5e1a2e9f62c53f6ae0157e8d24262da70bc5379	debbf6f631422ad44fb3bf323503f378cdaff1cd6c63661846cb56828e23c461	redstone-adapter.v1.tmplr.near
templar-registry-contract	0.1.0	208f102e3cd9ce81c62ea24e9900d196e600a1d2	c07b38a29202da247da12515d3b2e7a93855619209a76d73e5ae12b2facc6255	templar-alpha.near
templar-registry-contract	1.0.0	1d736e62a86424dd947284cbd8e83bef803fa9fb	bafbec54bff4f07147c5e317966ec34c500331f02c64eefd5da1aa5dc778e339	v1.tmplr.near
templar-registry-contract	1.1.0	bf8ca8ad6576a679c2e0d78cd4ab36f6b092fe54	0f315a008969013f44575b16374c115e972f421d1061fd6cafc8b4f63e5c65f3	user0.tmplr.near
templar-universal-account-contract	0.2.0	58e2a80d460815c7db71e012794e57c6c0faf424	30e8baf1bd5de0308c510c0e5ff77b9aeb25306bf6ab922e5e25f8a24d6f3efd	38192abab8de.user0.tmplr.near
templar-universal-account-contract	0.3.0	790846c867669350746b73358e875a4adf9d3cd0	99e7ee1e559b2a0e966ef91e572007d71a6998b6a8d8ca0330e6c308652de505	714dec53ad8d.user0.tmplr.near
templar-universal-account-contract	0.3.1	957d7053b9c72bb07263974e269bbbd056fb0fed	1b470283a0393f083463c95086de3046a94b626de45270fc108c1658fc7679a0	04b17943a35b.user0.tmplr.near
templar-universal-account-contract	0.5.0	2a280f8f2eb8a92fe00aff5930e2329871317c9d	22d1efca17929ef7148f62b9a32f1dcf9a5aa6bf1646df2190817e8cb9e961ef	cca8a1793e99.user0.tmplr.near
